FICE (Federal ID number),College name,State (postal code),"Type  (I, IIA, or IIB)",Average salary - full professors,Average salary - associate professors,Average salary - assistant professors,Average salary - all ranks,Average compensation - full professors,Average compensation - associate professors,Average compensation - assistant professors,Average compensation - all ranks,Number of full professors,Number of associate professors,Number of assistant professors,Number of instructors,Number of faculty - all ranks
1061,Alaska Pacific University,AK,IIB,45400.0,38200.0,36200.0,38200,56700.0,48500.0,47100.0,48700,6,11,9,4,32
1063,Univ.Alaska-Fairbanks,AK,I,68600.0,56000.0,43200.0,50800,91400.0,75300.0,57200.0,67700,74,125,118,40,404
1065,Univ.Alaska-Southeast,AK,IIA,53300.0,49400.0,32900.0,41500,71600.0,66300.0,44200.0,55900,9,26,20,9,70
11462,Univ.Alaska-Anchorage,AK,IIA,61200.0,50700.0,41400.0,49800,82500.0,68100.0,55700.0,67000,115,124,101,21,392
1002,Alabama Agri.&Mech. Univ.,AL,IIA,44200.0,36900.0,31000.0,35000,53000.0,44400.0,37600.0,42300,59,77,102,24,262
1004,University of Montevallo,AL,IIA,44100.0,38500.0,31000.0,38800,54200.0,47300.0,38300.0,47700,57,33,35,2,127
1008,Athens State College,AL,IIB,46600.0,39400.0,35100.0,39600,55800.0,47600.0,42700.0,47800,20,18,30,0,68
1009,Auburn University- Main,AL,I,58000.0,43700.0,37400.0,45500,69200.0,52700.0,45100.0,54600,366,354,301,66,1109
1012,Birmingham Southern College,AL,IIB,49800.0,37900.0,32200.0,40100,65500.0,50100.0,40400.0,52300,34,25,27,3,89
1016,Univ. of North Alabama,AL,IIB,50600.0,41200.0,35900.0,41100,60700.0,50800.0,44500.0,50300,67,40,66,27,200
1019,Huntingdon College,AL,IIB,33900.0,30300.0,28700.0,30100,42100.0,37100.0,34700.0,36600,8,15,19,2,44
1020,Jacksonville State Univ.,AL,IIA,46100.0,38900.0,33800.0,38600,58500.0,49600.0,43600.0,49300,106,42,66,58,272
1024,Livingston University,AL,IIB,36000.0,30400.0,25800.0,30000,43300.0,36900.0,31300.0,36300,27,25,33,4,89
1029,University of Mobile,AL,IIB,35400.0,32100.0,27700.0,29100,43600.0,40100.0,34600.0,36300,17,19,31,19,86
1033,Oakwood College,AL,IIB,30100.0,29000.0,28300.0,29000,37500.0,36300.0,35500.0,36200,18,28,28,3,77
1036,Samford University,AL,IIA,56500.0,42500.0,36300.0,44900,71000.0,55600.0,47600.0,57800,83,46,77,9,215
1041,Spring Hill College,AL,IIB,43100.0,35200.0,31100.0,37300,51800.0,42500.0,37400.0,44900,23,17,14,1,55
1044,Stillman College,AL,IIB,32100.0,28800.0,25100.0,27200,38800.0,35400.0,31200.0,33500,13,18,18,10,59
1047,Troy State University-Main,AL,IIA,46200.0,38500.0,32200.0,35000,56000.0,46700.0,39200.0,42600,25,59,100,19,204
1050,Tuskegee University,AL,IIA,41000.0,35200.0,30600.0,32700,48700.0,41500.0,36200.0,38700,57,65,85,45,254
1051,University of Alabama,AL,I,60500.0,44700.0,38200.0,46300,74600.0,56300.0,48300.0,58000,267,206,206,76,762
